,Processed Title,Success,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,num_pass_sents_char_1,num_pass_sents_char_2,num_pass_sents_char_3,num_pass_sents_char_4,num_pass_sents_char_5,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_pass_sents,tot_sents,passive_ratio
The Shipping News,"Shipping-News,-The",0,0.9997,0.9991,0.9928,0.854,0.9957,10,11,8,3,4,610,300,165,102,108,"{'neg': 0.096, 'neu': 0.759, 'pos': 0.145, 'compound': 1.0}","{'neg': 0.089, 'neu': 0.738, 'pos': 0.173, 'compound': 0.9999}","{'neg': 0.088, 'neu': 0.788, 'pos': 0.125, 'compound': 0.9928}","{'neg': 0.081, 'neu': 0.829, 'pos': 0.089, 'compound': 0.9392}","{'neg': 0.079, 'neu': 0.76, 'pos': 0.16, 'compound': 0.9989}",2440,900,165,204,216,0.096,0.089,0.088,0.081,0.079,0.145,0.173,0.125,0.089,0.16,1.0,0.9999,0.9928,0.9392,0.9989,36,1285,0.02801556420233463
Whiteout,Whiteout,0,-0.9995,0.9872,-0.9609,-0.9408,-0.8398,16,10,9,3,1,412,137,139,67,42,"{'neg': 0.151, 'neu': 0.752, 'pos': 0.097, 'compound': -1.0}","{'neg': 0.068, 'neu': 0.834, 'pos': 0.099, 'compound': 0.9984}","{'neg': 0.105, 'neu': 0.797, 'pos': 0.097, 'compound': -0.9885}","{'neg': 0.13, 'neu': 0.773, 'pos': 0.097, 'compound': -0.9408}","{'neg': 0.059, 'neu': 0.908, 'pos': 0.032, 'compound': -0.8398}",1648,411,278,67,42,0.151,0.068,0.105,0.13,0.059,0.097,0.099,0.097,0.097,0.032,-1.0,0.9984,-0.9885,-0.9408,-0.8398,39,797,0.04893350062735257
A Few Good Men,A-Few-Good-Men,1,0.976,0.9985,-0.9905,-0.8723,-0.8966,53,20,15,13,8,862,305,191,229,134,"{'neg': 0.106, 'neu': 0.777, 'pos': 0.116, 'compound': 0.9984}","{'neg': 0.079, 'neu': 0.802, 'pos': 0.119, 'compound': 0.9998}","{'neg': 0.111, 'neu': 0.791, 'pos': 0.098, 'compound': -0.9993}","{'neg': 0.121, 'neu': 0.751, 'pos': 0.128, 'compound': -0.9486}","{'neg': 0.089, 'neu': 0.825, 'pos': 0.085, 'compound': -0.983}",3448,915,764,458,536,0.106,0.079,0.111,0.121,0.089,0.116,0.119,0.098,0.128,0.085,0.9984,0.9998,-0.9993,-0.9486,-0.983,109,1721,0.06333527019174898
Bridesmaids,Bridesmaids,1,1.0,0.9997,0.9999,0.9939,0.9851,25,4,14,6,4,1149,318,332,200,119,"{'neg': 0.098, 'neu': 0.704, 'pos': 0.197, 'compound': 1.0}","{'neg': 0.074, 'neu': 0.748, 'pos': 0.178, 'compound': 0.9999}","{'neg': 0.031, 'neu': 0.789, 'pos': 0.18, 'compound': 1.0}","{'neg': 0.089, 'neu': 0.781, 'pos': 0.13, 'compound': 0.9992}","{'neg': 0.059, 'neu': 0.843, 'pos': 0.097, 'compound': 0.9983}",4596,636,996,600,357,0.098,0.074,0.031,0.089,0.059,0.197,0.178,0.18,0.13,0.097,1.0,0.9999,1.0,0.9992,0.9983,53,2118,0.02502360717658168
The Reader,"Reader,-The",1,0.9987,-0.9457,-0.9948,0.4513,0.9942,8,1,13,1,4,323,168,98,76,79,"{'neg': 0.096, 'neu': 0.763, 'pos': 0.141, 'compound': 0.9987}","{'neg': 0.102, 'neu': 0.803, 'pos': 0.094, 'compound': -0.9816}","{'neg': 0.11, 'neu': 0.828, 'pos': 0.062, 'compound': -0.9987}","{'neg': 0.133, 'neu': 0.708, 'pos': 0.159, 'compound': 0.4513}","{'neg': 0.064, 'neu': 0.777, 'pos': 0.158, 'compound': 0.9985}",323,336,196,76,158,0.096,0.102,0.11,0.133,0.064,0.141,0.094,0.062,0.159,0.158,0.9987,-0.9816,-0.9987,0.4513,0.9985,27,744,0.036290322580645164
Source Code,Source-Code,1,-0.9999,0.9969,-0.9983,-0.9732,-0.9834,32,22,15,9,4,1126,427,435,233,122,"{'neg': 0.12, 'neu': 0.815, 'pos': 0.065, 'compound': -1.0}","{'neg': 0.079, 'neu': 0.811, 'pos': 0.11, 'compound': 0.9996}","{'neg': 0.114, 'neu': 0.801, 'pos': 0.085, 'compound': -0.9996}","{'neg': 0.127, 'neu': 0.758, 'pos': 0.115, 'compound': -0.9925}","{'neg': 0.08, 'neu': 0.882, 'pos': 0.038, 'compound': -0.9958}",3378,1281,870,466,244,0.12,0.079,0.114,0.127,0.08,0.065,0.11,0.085,0.115,0.038,-1.0,0.9996,-0.9996,-0.9925,-0.9958,82,2343,0.034997865983781476
Apocalypse Now,Apocalypse-Now,1,-0.9976,-0.9842,-0.9988,-0.9932,-0.9952,24,1,5,1,5,437,136,76,72,118,"{'neg': 0.116, 'neu': 0.784, 'pos': 0.1, 'compound': -0.9997}","{'neg': 0.119, 'neu': 0.77, 'pos': 0.111, 'compound': -0.9957}","{'neg': 0.2, 'neu': 0.727, 'pos': 0.073, 'compound': -0.9988}","{'neg': 0.13, 'neu': 0.813, 'pos': 0.057, 'compound': -0.9932}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",1311,272,76,72,0,0.116,0.119,0.2,0.13,0.0,0.1,0.111,0.073,0.057,0.0,-0.9997,-0.9957,-0.9988,-0.9932,0.0,36,839,0.04290822407628129
42,42,1,0.9999,0.9975,0.9992,0.9968,0.8908,15,10,10,3,3,564,361,216,135,78,"{'neg': 0.085, 'neu': 0.767, 'pos': 0.148, 'compound': 1.0}","{'neg': 0.08, 'neu': 0.796, 'pos': 0.124, 'compound': 0.9997}","{'neg': 0.075, 'neu': 0.764, 'pos': 0.162, 'compound': 0.9998}","{'neg': 0.039, 'neu': 0.85, 'pos': 0.111, 'compound': 0.9996}","{'neg': 0.113, 'neu': 0.761, 'pos': 0.126, 'compound': 0.9587}",2256,1083,432,405,156,0.085,0.08,0.075,0.039,0.113,0.148,0.124,0.162,0.111,0.126,1.0,0.9997,0.9998,0.9996,0.9587,41,1354,0.030280649926144758
Flight,Flight,1,0.9994,0.9978,0.9987,-0.9971,-0.9876,15,4,5,8,13,743,182,158,126,72,"{'neg': 0.129, 'neu': 0.711, 'pos': 0.16, 'compound': 0.9999}","{'neg': 0.076, 'neu': 0.786, 'pos': 0.139, 'compound': 0.9978}","{'neg': 0.07, 'neu': 0.782, 'pos': 0.147, 'compound': 0.9996}","{'neg': 0.136, 'neu': 0.786, 'pos': 0.078, 'compound': -0.9992}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",2229,182,316,252,0,0.129,0.076,0.07,0.136,0.0,0.16,0.139,0.147,0.078,0.0,0.9999,0.9978,0.9996,-0.9992,0.0,45,1281,0.0351288056206089
The Hunt for Red October,"Hunt-for-Red-October,-The",1,-0.9972,0.9087,-0.9921,-0.9837,0.5191,16,10,6,3,5,300,247,167,183,79,"{'neg': 0.096, 'neu': 0.832, 'pos': 0.071, 'compound': -0.9997}","{'neg': 0.087, 'neu': 0.816, 'pos': 0.098, 'compound': 0.9835}","{'neg': 0.08, 'neu': 0.874, 'pos': 0.046, 'compound': -0.999}","{'neg': 0.07, 'neu': 0.879, 'pos': 0.051, 'compound': -0.9979}","{'neg': 0.057, 'neu': 0.87, 'pos': 0.073, 'compound': 0.5191}",900,741,501,549,79,0.096,0.087,0.08,0.07,0.057,0.071,0.098,0.046,0.051,0.073,-0.9997,0.9835,-0.999,-0.9979,0.5191,40,976,0.040983606557377046
The Addams Family,"Addams-Family,-The",1,0.8239,-0.774,0.9861,0.848,-0.8225,6,3,0,1,0,101,93,50,63,37,"{'neg': 0.11, 'neu': 0.775, 'pos': 0.115, 'compound': 0.9561}","{'neg': 0.163, 'neu': 0.669, 'pos': 0.168, 'compound': -0.958}","{'neg': 0.084, 'neu': 0.705, 'pos': 0.212, 'compound': 0.9982}","{'neg': 0.063, 'neu': 0.846, 'pos': 0.091, 'compound': 0.848}","{'neg': 0.119, 'neu': 0.813, 'pos': 0.069, 'compound': -0.8662}",303,279,150,63,74,0.11,0.163,0.084,0.063,0.119,0.115,0.168,0.212,0.091,0.069,0.9561,-0.958,0.9982,0.848,-0.8662,10,344,0.029069767441860465
Analyze This,Analyze-This,1,0.998,-0.9982,-0.9649,0.9651,-0.981,26,13,6,9,2,719,613,157,117,77,"{'neg': 0.117, 'neu': 0.742, 'pos': 0.141, 'compound': 0.9999}","{'neg': 0.151, 'neu': 0.703, 'pos': 0.146, 'compound': -0.9994}","{'neg': 0.147, 'neu': 0.72, 'pos': 0.133, 'compound': -0.995}","{'neg': 0.098, 'neu': 0.774, 'pos': 0.128, 'compound': 0.9928}","{'neg': 0.129, 'neu': 0.771, 'pos': 0.1, 'compound': -0.9947}",2876,1226,471,234,154,0.117,0.151,0.147,0.098,0.129,0.141,0.146,0.133,0.128,0.1,0.9999,-0.9994,-0.995,0.9928,-0.9947,56,1683,0.033273915626856804
Se7en,Se7en,1,-0.9995,-0.9986,0.9947,-0.994,-0.9645,27,16,6,5,6,570,513,119,99,66,"{'neg': 0.143, 'neu': 0.743, 'pos': 0.114, 'compound': -0.9999}","{'neg': 0.145, 'neu': 0.725, 'pos': 0.13, 'compound': -0.9998}","{'neg': 0.093, 'neu': 0.746, 'pos': 0.161, 'compound': 0.9986}","{'neg': 0.166, 'neu': 0.721, 'pos': 0.113, 'compound': -0.9984}","{'neg': 0.093, 'neu': 0.85, 'pos': 0.056, 'compound': -0.9901}",1140,1539,238,198,132,0.143,0.145,0.093,0.166,0.093,0.114,0.13,0.161,0.113,0.056,-0.9999,-0.9998,0.9986,-0.9984,-0.9901,60,1367,0.043891733723482075
Up in the Air,Up-in-the-Air,1,0.9997,0.9996,0.999,0.9976,0.9884,22,16,3,3,2,748,288,175,109,64,"{'neg': 0.092, 'neu': 0.773, 'pos': 0.134, 'compound': 1.0}","{'neg': 0.082, 'neu': 0.749, 'pos': 0.169, 'compound': 0.9999}","{'neg': 0.091, 'neu': 0.721, 'pos': 0.187, 'compound': 0.9998}","{'neg': 0.08, 'neu': 0.741, 'pos': 0.18, 'compound': 0.9994}","{'neg': 0.08, 'neu': 0.767, 'pos': 0.154, 'compound': 0.9884}",2244,576,350,218,64,0.092,0.082,0.091,0.08,0.08,0.134,0.169,0.187,0.18,0.154,1.0,0.9999,0.9998,0.9994,0.9884,46,1384,0.033236994219653176
Looper,Looper,1,-0.9995,-0.9986,-0.7336,-0.998,-0.9951,13,6,8,3,1,539,397,252,131,106,"{'neg': 0.105, 'neu': 0.825, 'pos': 0.07, 'compound': -1.0}","{'neg': 0.125, 'neu': 0.788, 'pos': 0.087, 'compound': -0.9996}","{'neg': 0.123, 'neu': 0.758, 'pos': 0.119, 'compound': -0.7336}","{'neg': 0.155, 'neu': 0.782, 'pos': 0.062, 'compound': -0.9995}","{'neg': 0.152, 'neu': 0.743, 'pos': 0.106, 'compound': -0.9951}",2156,794,252,262,106,0.105,0.125,0.123,0.155,0.152,0.07,0.087,0.119,0.062,0.106,-1.0,-0.9996,-0.7336,-0.9995,-0.9951,31,1425,0.02175438596491228
Midnight in Paris,Midnight-in-Paris,1,1.0,0.9995,0.9994,0.998,0.9957,20,7,4,4,5,381,198,124,73,63,"{'neg': 0.079, 'neu': 0.717, 'pos': 0.204, 'compound': 1.0}","{'neg': 0.086, 'neu': 0.746, 'pos': 0.168, 'compound': 0.9995}","{'neg': 0.077, 'neu': 0.74, 'pos': 0.184, 'compound': 0.9999}","{'neg': 0.168, 'neu': 0.594, 'pos': 0.238, 'compound': 0.9995}","{'neg': 0.078, 'neu': 0.764, 'pos': 0.158, 'compound': 0.9995}",1524,198,372,146,189,0.079,0.086,0.077,0.168,0.078,0.204,0.168,0.184,0.238,0.158,1.0,0.9995,0.9999,0.9995,0.9995,40,839,0.04767580452920143
Blow,Blow,1,0.9999,0.9976,-0.9735,0.997,0.989,24,4,0,1,2,848,281,110,91,106,"{'neg': 0.093, 'neu': 0.738, 'pos': 0.169, 'compound': 1.0}","{'neg': 0.128, 'neu': 0.7, 'pos': 0.172, 'compound': 0.9994}","{'neg': 0.107, 'neu': 0.805, 'pos': 0.087, 'compound': -0.9922}","{'neg': 0.069, 'neu': 0.712, 'pos': 0.219, 'compound': 0.9997}","{'neg': 0.134, 'neu': 0.676, 'pos': 0.19, 'compound': 0.9971}",3392,562,220,273,212,0.093,0.128,0.107,0.069,0.134,0.169,0.172,0.087,0.219,0.19,1.0,0.9994,-0.9922,0.9997,0.9971,31,1436,0.02158774373259053
Sicario,Sicario,1,0.9985,-0.9959,0.994,-0.9529,-0.7212,7,17,4,4,2,263,272,188,135,34,"{'neg': 0.083, 'neu': 0.758, 'pos': 0.159, 'compound': 0.9996}","{'neg': 0.114, 'neu': 0.806, 'pos': 0.08, 'compound': -0.9959}","{'neg': 0.08, 'neu': 0.81, 'pos': 0.11, 'compound': 0.9993}","{'neg': 0.109, 'neu': 0.804, 'pos': 0.087, 'compound': -0.9529}","{'neg': 0.083, 'neu': 0.844, 'pos': 0.074, 'compound': -0.878}",526,272,564,135,68,0.083,0.114,0.08,0.109,0.083,0.159,0.08,0.11,0.087,0.074,0.9996,-0.9959,0.9993,-0.9529,-0.878,34,892,0.03811659192825112
Black Rain,Black-Rain,1,0.9971,-0.9812,-0.9597,-0.9701,-0.9938,12,9,3,5,7,406,191,137,80,86,"{'neg': 0.078, 'neu': 0.809, 'pos': 0.113, 'compound': 0.9998}","{'neg': 0.118, 'neu': 0.792, 'pos': 0.09, 'compound': -0.9986}","{'neg': 0.09, 'neu': 0.836, 'pos': 0.074, 'compound': -0.9965}","{'neg': 0.102, 'neu': 0.826, 'pos': 0.072, 'compound': -0.9979}","{'neg': 0.131, 'neu': 0.811, 'pos': 0.058, 'compound': -0.9996}",1624,764,548,320,344,0.078,0.118,0.09,0.102,0.131,0.113,0.09,0.074,0.072,0.058,0.9998,-0.9986,-0.9965,-0.9979,-0.9996,36,900,0.04
John Wick,John-Wick,1,0.9995,-0.5477,-0.9897,0.9544,0.9193,3,4,1,0,1,205,65,36,32,22,"{'neg': 0.085, 'neu': 0.672, 'pos': 0.242, 'compound': 0.9999}","{'neg': 0.166, 'neu': 0.658, 'pos': 0.176, 'compound': -0.8265}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.118, 'neu': 0.721, 'pos': 0.162, 'compound': 0.9746}",615,195,0,0,44,0.085,0.166,0.0,0.0,0.118,0.242,0.176,0.0,0.0,0.162,0.9999,-0.8265,0.0,0.0,0.9746,9,360,0.025
Hanna,Hanna,1,0.5422,-0.9963,-0.5974,0.9916,-0.9551,14,6,15,4,3,464,328,262,162,93,"{'neg': 0.113, 'neu': 0.775, 'pos': 0.112, 'compound': 0.8783}","{'neg': 0.128, 'neu': 0.766, 'pos': 0.106, 'compound': -0.9998}","{'neg': 0.111, 'neu': 0.781, 'pos': 0.108, 'compound': -0.9482}","{'neg': 0.069, 'neu': 0.825, 'pos': 0.105, 'compound': 0.999}","{'neg': 0.092, 'neu': 0.843, 'pos': 0.065, 'compound': -0.9943}",1856,1312,524,486,279,0.113,0.128,0.111,0.069,0.092,0.112,0.106,0.108,0.105,0.065,0.8783,-0.9998,-0.9482,0.999,-0.9943,42,1309,0.03208556149732621
Larry Crowne,Larry-Crowne,1,0.9976,0.9942,0.9972,0.8686,0.9948,8,14,2,3,2,401,387,157,76,90,"{'neg': 0.089, 'neu': 0.796, 'pos': 0.115, 'compound': 0.9976}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",401,0,0,0,0,0.089,0.0,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.9976,0.0,0.0,0.0,0.0,29,1111,0.026102610261026102
Carrie,Carrie,1,0.9899,0.9954,-0.9935,0.991,-0.9979,6,1,6,5,1,217,152,111,145,98,"{'neg': 0.098, 'neu': 0.757, 'pos': 0.145, 'compound': 0.9977}","{'neg': 0.084, 'neu': 0.746, 'pos': 0.17, 'compound': 0.9954}","{'neg': 0.151, 'neu': 0.746, 'pos': 0.103, 'compound': -0.9983}","{'neg': 0.084, 'neu': 0.785, 'pos': 0.131, 'compound': 0.9989}","{'neg': 0.225, 'neu': 0.663, 'pos': 0.112, 'compound': -0.9994}",434,152,222,435,196,0.098,0.084,0.151,0.084,0.225,0.145,0.17,0.103,0.131,0.112,0.9977,0.9954,-0.9983,0.9989,-0.9994,19,723,0.02627939142461964
Get on Up,Get-on-Up,1,0.9999,0.9463,0.9947,0.6402,0.7843,27,0,4,1,4,780,188,127,56,46,"{'neg': 0.068, 'neu': 0.798, 'pos': 0.134, 'compound': 1.0}","{'neg': 0.052, 'neu': 0.879, 'pos': 0.069, 'compound': 0.9463}","{'neg': 0.04, 'neu': 0.822, 'pos': 0.138, 'compound': 0.9988}","{'neg': 0.044, 'neu': 0.89, 'pos': 0.066, 'compound': 0.6402}","{'neg': 0.11, 'neu': 0.745, 'pos': 0.145, 'compound': 0.7843}",2340,188,254,56,46,0.068,0.052,0.04,0.044,0.11,0.134,0.069,0.138,0.066,0.145,1.0,0.9463,0.9988,0.6402,0.7843,36,1197,0.03007518796992481
Virtuosity,Virtuosity,0,-0.9997,-0.9916,-0.9458,-0.8998,-0.9184,11,9,5,3,5,274,219,76,51,67,"{'neg': 0.169, 'neu': 0.743, 'pos': 0.088, 'compound': -1.0}","{'neg': 0.116, 'neu': 0.782, 'pos': 0.102, 'compound': -0.999}","{'neg': 0.104, 'neu': 0.806, 'pos': 0.09, 'compound': -0.9958}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.127, 'neu': 0.754, 'pos': 0.119, 'compound': -0.9184}",1096,657,304,0,67,0.169,0.116,0.104,0.0,0.127,0.088,0.102,0.09,0.0,0.119,-1.0,-0.999,-0.9958,0.0,-0.9184,33,687,0.048034934497816595
The Next Three Days,"Next-Three-Days,-The",1,0.9987,0.8638,0.6933,0.9796,-0.9662,6,2,1,1,2,421,174,55,40,23,"{'neg': 0.116, 'neu': 0.72, 'pos': 0.164, 'compound': 0.9999}","{'neg': 0.125, 'neu': 0.739, 'pos': 0.136, 'compound': 0.8638}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.176, 'neu': 0.747, 'pos': 0.077, 'compound': -0.9912}",1263,174,0,0,46,0.116,0.125,0.0,0.0,0.176,0.164,0.136,0.0,0.0,0.077,0.9999,0.8638,0.0,0.0,-0.9912,12,713,0.016830294530154277
Fright Night,Fright-Night,1,-0.9992,-0.9893,-0.9983,-0.9992,-0.9962,22,5,6,4,8,852,289,317,280,207,"{'neg': 0.142, 'neu': 0.738, 'pos': 0.12, 'compound': -0.9999}","{'neg': 0.142, 'neu': 0.739, 'pos': 0.119, 'compound': -0.9993}","{'neg': 0.156, 'neu': 0.733, 'pos': 0.111, 'compound': -0.9999}","{'neg': 0.165, 'neu': 0.735, 'pos': 0.101, 'compound': -0.9999}","{'neg': 0.144, 'neu': 0.749, 'pos': 0.107, 'compound': -0.9997}",3408,1156,1268,1120,828,0.142,0.142,0.156,0.165,0.144,0.12,0.119,0.111,0.101,0.107,-0.9999,-0.9993,-0.9999,-0.9999,-0.9997,45,1945,0.02313624678663239
Eight Legged Freaks,Eight-Legged-Freaks,1,0.785,-0.9662,-0.9922,0.8568,-0.9792,2,7,6,0,2,194,163,166,83,93,"{'neg': 0.082, 'neu': 0.833, 'pos': 0.085, 'compound': 0.9598}","{'neg': 0.101, 'neu': 0.809, 'pos': 0.09, 'compound': -0.9898}","{'neg': 0.101, 'neu': 0.85, 'pos': 0.049, 'compound': -0.9922}","{'neg': 0.109, 'neu': 0.755, 'pos': 0.137, 'compound': 0.8568}","{'neg': 0.133, 'neu': 0.762, 'pos': 0.105, 'compound': -0.994}",776,326,166,83,186,0.082,0.101,0.101,0.109,0.133,0.085,0.09,0.049,0.137,0.105,0.9598,-0.9898,-0.9922,0.8568,-0.994,17,699,0.024320457796852647
Antitrust,Antitrust,0,0.9995,0.9953,0.7715,0.9147,0.9238,15,6,2,7,5,530,195,143,125,48,"{'neg': 0.082, 'neu': 0.78, 'pos': 0.138, 'compound': 1.0}","{'neg': 0.077, 'neu': 0.798, 'pos': 0.125, 'compound': 0.9995}","{'neg': 0.104, 'neu': 0.796, 'pos': 0.1, 'compound': -0.5767}","{'neg': 0.088, 'neu': 0.805, 'pos': 0.106, 'compound': 0.9698}","{'neg': 0.074, 'neu': 0.823, 'pos': 0.103, 'compound': 0.9892}",1590,585,286,250,144,0.082,0.077,0.104,0.088,0.074,0.138,0.125,0.1,0.106,0.103,1.0,0.9995,-0.5767,0.9698,0.9892,35,1041,0.03362151777137368
The Imaginarium of Doctor Parnassus,"Imaginarium-of-Doctor-Parnassus,-The",1,-0.9608,0.9995,-0.9692,0.9956,-0.9392,3,14,8,6,5,224,305,177,151,105,"{'neg': 0.169, 'neu': 0.669, 'pos': 0.163, 'compound': -0.987}","{'neg': 0.126, 'neu': 0.671, 'pos': 0.203, 'compound': 0.9995}","{'neg': 0.1, 'neu': 0.822, 'pos': 0.078, 'compound': -0.9908}","{'neg': 0.111, 'neu': 0.705, 'pos': 0.184, 'compound': 0.9988}","{'neg': 0.144, 'neu': 0.735, 'pos': 0.121, 'compound': -0.98}",448,305,354,302,210,0.169,0.126,0.1,0.111,0.144,0.163,0.203,0.078,0.184,0.121,-0.987,0.9995,-0.9908,0.9988,-0.98,36,962,0.037422037422037424
Machine Gun Preacher,Machine-Gun-Preacher,0,0.9949,-0.9468,0.9822,0.9973,0.9933,20,10,9,2,2,459,136,113,88,60,"{'neg': 0.087, 'neu': 0.808, 'pos': 0.105, 'compound': 0.9997}","{'neg': 0.109, 'neu': 0.8, 'pos': 0.091, 'compound': -0.9468}","{'neg': 0.039, 'neu': 0.871, 'pos': 0.09, 'compound': 0.9954}","{'neg': 0.064, 'neu': 0.759, 'pos': 0.177, 'compound': 0.9993}","{'neg': 0.018, 'neu': 0.819, 'pos': 0.163, 'compound': 0.9933}",1836,136,226,176,60,0.087,0.109,0.039,0.064,0.018,0.105,0.091,0.09,0.177,0.163,0.9997,-0.9468,0.9954,0.9993,0.9933,43,856,0.05023364485981308
12 Monkeys,12-Monkeys,1,0.9935,0.6695,-0.9972,0.9486,-0.9636,24,14,14,1,1,480,343,232,54,31,"{'neg': 0.099, 'neu': 0.789, 'pos': 0.112, 'compound': 0.9935}","{'neg': 0.11, 'neu': 0.766, 'pos': 0.124, 'compound': 0.7816}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.105, 'neu': 0.829, 'pos': 0.065, 'compound': -0.9636}",480,686,0,0,31,0.099,0.11,0.0,0.0,0.105,0.112,0.124,0.0,0.0,0.065,0.9935,0.7816,0.0,0.0,-0.9636,54,1140,0.04736842105263158
Confessions of a Dangerous Mind,Confessions-of-a-Dangerous-Mind,1,0.9998,0.9963,0.9921,0.8169,0.9831,22,8,5,4,3,750,207,158,47,71,"{'neg': 0.132, 'neu': 0.669, 'pos': 0.199, 'compound': 1.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.12, 'neu': 0.712, 'pos': 0.168, 'compound': 0.9979}","{'neg': 0.072, 'neu': 0.837, 'pos': 0.09, 'compound': 0.9326}","{'neg': 0.108, 'neu': 0.739, 'pos': 0.153, 'compound': 0.9831}",1500,0,316,94,71,0.132,0.0,0.12,0.072,0.108,0.199,0.0,0.168,0.09,0.153,1.0,0.0,0.9979,0.9326,0.9831,42,1233,0.0340632603406326
Mumford,Mumford,0,0.9996,0.9993,0.9958,-0.951,0.536,27,10,5,6,7,590,218,202,86,78,"{'neg': 0.112, 'neu': 0.744, 'pos': 0.145, 'compound': 1.0}","{'neg': 0.064, 'neu': 0.782, 'pos': 0.154, 'compound': 0.9993}","{'neg': 0.118, 'neu': 0.737, 'pos': 0.145, 'compound': 0.9958}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",2360,218,202,0,0,0.112,0.064,0.118,0.0,0.0,0.145,0.154,0.145,0.0,0.0,1.0,0.9993,0.9958,0.0,0.0,55,1174,0.046848381601362864
The Jacket,"Jacket,-The",0,-0.9996,-0.9987,0.9967,0.9551,-0.9501,16,9,11,2,2,546,199,160,165,87,"{'neg': 0.134, 'neu': 0.78, 'pos': 0.086, 'compound': -1.0}","{'neg': 0.159, 'neu': 0.751, 'pos': 0.09, 'compound': -0.9998}","{'neg': 0.057, 'neu': 0.819, 'pos': 0.124, 'compound': 0.9992}","{'neg': 0.086, 'neu': 0.805, 'pos': 0.109, 'compound': 0.9551}","{'neg': 0.118, 'neu': 0.775, 'pos': 0.106, 'compound': -0.9923}",1638,597,320,165,261,0.134,0.159,0.057,0.086,0.118,0.086,0.09,0.124,0.109,0.106,-1.0,-0.9998,0.9992,0.9551,-0.9923,40,1157,0.03457216940363008
Indiana Jones and the Temple of Doom,Indiana-Jones-and-the-Temple-of-Doom,1,-0.9974,0.9937,0.9783,-0.9054,-0.9296,20,10,1,2,5,353,274,97,46,24,"{'neg': 0.131, 'neu': 0.758, 'pos': 0.11, 'compound': -0.9974}","{'neg': 0.124, 'neu': 0.727, 'pos': 0.149, 'compound': 0.9937}","{'neg': 0.094, 'neu': 0.753, 'pos': 0.153, 'compound': 0.9783}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",353,274,97,0,0,0.131,0.124,0.094,0.0,0.0,0.11,0.149,0.153,0.0,0.0,-0.9974,0.9937,0.9783,0.0,0.0,38,794,0.04785894206549118
