,Processed Title,Success,main_char_rel_diag_length,stdvs_unique_words_above_mean,FK_read_level_mean_char,stdvs_n_stop_words_above_mean,stdvs_n_curse_words_above_mean,stdvs_n_mentions_others_above_mean
Megamind,Megamind,1,43.563642655285776,-0.04018469017811312,2.4,0.2917535968107556,-0.23363655305185063,-0.6373421107144808
Logan,Logan,1,40.029599626109984,-0.7467561645540927,1.6,0.07658866566945764,0.4913514797030455,-0.46246803679026227
Clash of the Titans,Clash-of-the-Titans,1,35.28024758068478,1.0870810643435649,3.8,0.8162181164676693,-0.6867540735236607,0.4913905482509294
Prometheus,Prometheus,1,26.75397199937077,-0.5209781532017682,2.8,-0.5420105113617739,-0.6640981975000702,-0.5340074306683517
Total Recall,Total-Recall,1,55.17887909192257,-1.329880668694269,2.4,-1.2681921539636545,-0.5508188173821177,-0.8519602923487489
Life of Pi,Life-of-Pi,1,32.11856579057856,-0.8750760415097304,3.4,-0.8513100998773897,-0.7094099495472512,-0.8281138277227191
Ghost Rider,Ghost-Rider,1,40.04782014656564,0.14336146293564708,2.6,-0.24615873104248925,0.038233959231235425,-0.009385208895696218
Oblivion,Oblivion,1,49.31471558120363,1.4947809265697043,3.2,0.9641440066273116,-0.6640981975000702,0.547032299044999
Fantastic Four,Fantastic-Four,1,27.75756927356371,0.12874274277614406,1.8,0.8296659246640005,-0.7094099495472512,0.5867764067550486
Speed Racer,Speed-Racer,0,32.136365557763035,1.2560084972978218,2.4,1.004487431216305,-0.5508188173821177,0.8570363391833863
The Island,"Island,-The",1,26.83033120278907,-0.4072769964056335,3.0,0.5338141443447157,-0.6414423214764797,-0.8122161846386993
Ocean's Twelve,Ocean's-Twelve,1,21.542648427988254,-0.33905630232795275,2.4,0.34554482959608007,-0.6867540735236607,-0.7883697200126695
Tomorrow Never Dies,Tomorrow-Never-Dies,1,35.973776013472865,0.05727344421857373,3.2,-0.31339777202414487,-0.6640981975000702,-0.263747498240014
The Patriot,"Patriot,-The",1,51.50551314673452,-0.23347665673154205,3.6,-0.24615873104248925,-0.7094099495472512,-0.08092460277378559
Ali,Ali,0,58.87280190824874,-0.05967631705745049,2.8,-0.5823539359507673,-0.4148835612405747,-0.5340074306683517
The Martian,"Martian,-The",1,17.37991723848934,0.5104537691631675,3.4,0.06314085747312652,-0.5055070653349367,0.014461255730333574
"I, Robot","I,-Robot",1,47.3906526774765,-0.6736625637565775,4.0,-0.46132366218378723,-0.6640981975000702,0.2847211881586712
Gone in 60 Seconds,Gone-in-60-Seconds,1,41.333030027297546,0.17584750773454272,2.2,0.5338141443447157,-0.07504542088671709,-0.2955427844080537
Gladiator,Gladiator,1,19.860783317898008,-0.22373084329187332,2.6,0.5741575689337092,-0.5961305694292987,-0.5896491814624212
Public Enemies,Public-Enemies,1,45.55472783785866,0.6468951573185291,3.0,0.5741575689337092,-0.6414423214764797,0.0462565418983733
Django Unchained,Django-Unchained,1,45.660829314084104,3.0378680545172463,3.2,1.8785949639778279,2.8928743382036393,0.8570363391833863
True Lies,True-Lies,1,33.03841387856258,0.3382777317290208,2.0,0.5741575689337092,0.06088983525482593,-0.1842592828199147
American Gangster,American-Gangster,1,41.15295331441836,-0.6687896570367432,2.2,-0.23271092284615816,0.5366632317502266,-0.5975980030044311
The Wolf of Wall Street,"Wolf-of-Wall-Street,-The",1,78.74661794160019,0.8970377022700253,2.8,-0.31339777202414487,3.0514654703687727,-0.6611885753405106
The Tourist,"Tourist,-The",1,29.612466494025718,-0.95304254902708,2.6,-0.7571754425030719,-0.5961305694292987,-0.7486256123026198
Starship Troopers,Starship-Troopers,1,40.574946018241,-0.26433839929049285,3.8,-0.6226973605397607,-0.5734746934057082,-0.40682628599619275
Point Break,Point-Break,1,35.02138327680282,0.08001367557780065,1.8,-0.03099379990119133,0.37807209958509297,-0.6214444676304609
The Fifth Element,"Fifth-Element,-The",1,38.045934369835756,-0.34880211576762143,2.4,0.1707233230437755,-0.46019531328775565,-0.5022121445003119
Rise of the Planet of the Apes,Rise-of-the-Planet-of-the-Apes,1,52.40599855984471,-0.17337747385358512,2.4,0.10348428206211988,-0.5734746934057082,0.5311346559609791
The Secret Life of Walter Mitty,"Secret-Life-of-Walter-Mitty,-The",1,67.90495118957152,-0.7759936048730988,2.2,-0.7168320179140785,-0.30160418112262216,-0.6770862184245304
Men in Black,Men-in-Black,1,42.508289689795156,0.09625669797724844,2.6,0.049693049276795395,-0.3469159331698031,-0.5578538952943815
Rush Hour 2,Rush-Hour-2,1,59.12966693341428,-0.24159816793126596,1.8,-0.6495929769324229,0.12885746332559744,-0.5578538952943815
Sherlock Holmes,Sherlock-Holmes,1,54.633713738943726,0.9392695605085896,3.4,0.5069185279520535,-0.6867540735236607,-0.17631046127790476
What Lies Beneath,What-Lies-Beneath,1,49.39048894842599,-0.9904015005458098,1.4,-1.2950877703563166,-0.46019531328775565,-0.5181097875843318
The Departed,"Departed,-The",1,31.156053566548238,0.5543099296416766,2.2,0.883457157449325,2.4171009417082385,-0.33528689211810336
Charlie's Angels,Charlie's-Angels,1,29.77497255762897,-0.7678720936733748,2.0,-0.08478503268651581,-0.5281629413585271,-0.45451921524825234
Tropic Thunder,Tropic-Thunder,1,34.21458021838612,1.3875769787333492,2.8,1.4886085262842255,0.6046308598209981,0.39600468974681025
The Girl with the Dragon Tattoo,"Girl-with-the-Dragon-Tattoo,-The",1,26.07709750566893,-1.3136376462948212,2.6,-0.8916535244663831,-0.6414423214764797,-0.9950390801049276
Valkyrie,Valkyrie,1,47.650557327976685,-0.6947784928758597,3.8,-0.2730543474351515,-0.6867540735236607,-0.3511845352021232
Hollow Man,Hollow-Man,1,32.34259004674182,0.06214635093840806,1.8,0.668292226308027,0.08354571127841644,-0.4227239290802126
Mission to Mars,Mission-to-Mars,1,34.21225943361709,0.8369385193920684,2.2,1.0313830476089672,-0.6187864454528892,-0.07297578123177566
Conan the Barbarian,Conan-the-Barbarian,0,34.086559446664204,-0.2351009589714868,2.0,0.560709760737378,-0.7094099495472512,-0.5817003599204112
The Three Musketeers,"Three-Musketeers,-The",1,22.338551859099802,-0.1165268954555178,2.2,0.8296659246640005,-0.6187864454528892,-0.7565744338446297
Hannibal,Hannibal,1,40.18131626827279,-0.28545432840977497,2.6,0.3589926377924112,-0.7094099495472512,-0.5101609660423219
Cast Away,Cast-Away,1,60.363452436865494,-0.7532533735138718,1.0,-0.878205716270052,0.26479271946714045,-0.7645232553866397
Happy Feet,Happy-Feet,1,57.133251148716795,-1.5605315867664278,1.6,-1.644730783460926,-0.7320658255708418,-0.8678579354327688
Ocean's Eleven,Ocean's-Eleven,1,35.268847795163595,0.10437820917697237,2.4,0.6010531853263713,-0.5508188173821177,-0.45451921524825234
It's Complicated,It's-Complicated,1,46.40992321323096,-0.049930503617781806,1.6,0.21106674763276886,-0.6867540735236607,-0.2716963197820239
Meet Joe Black,Meet-Joe-Black,0,36.70949861426053,1.6425924304046795,2.6,2.080312086922795,-0.36957180919339366,0.6106228713810784
Collateral Damage,Collateral-Damage,0,36.81347300190984,-1.2356711387774717,1.8,-1.3757746195343035,-0.23363655305185063,-0.963243793936888
Judge Dredd,Judge-Dredd,1,27.929820226107374,0.5039565602033884,2.4,0.8296659246640005,-0.46019531328775565,0.37215822512078045
Bruce Almighty,Bruce-Almighty,1,57.85240236107288,-0.3016973508092228,1.4,-0.7571754425030719,-0.46019531328775565,-0.10477106739981538
Mission: Impossible,Mission-Impossible,1,40.17717561229807,-0.418647112085247,2.2,-0.35374119661313824,-0.5055070653349367,0.006512434188323644
Something's Gotta Give,Something's-Gotta-Give,1,38.04805284747749,1.0935782733033437,2.2,1.0179352394126362,-0.3469159331698031,0.22113061582259178
Eagle Eye,Eagle-Eye,1,40.94781582938565,1.8634975350371696,4.4,1.8113559229961722,0.01557808320764492,1.1511427362377538
Cold Mountain,Cold-Mountain,1,26.287655050206734,0.11574832485658583,1.8,0.3052014050070867,-0.4148835612405747,-0.6373421107144808
The Book of Eli,"Book-of-Eli,-The",1,39.10215695739438,-0.3455535112877319,1.0,0.7489790754860137,-0.36957180919339366,-0.7963185415546794
The Haunting,"Haunting,-The",1,32.73232840626372,-0.44626025016430826,2.2,0.33209702139974895,-0.5508188173821177,-0.11271988894182532
The Day the Earth Stood Still,"Day-the-Earth-Stood-Still,-The",1,45.67609177274605,-0.9709098736664724,4.0,-0.9723403736443698,-0.7320658255708418,-0.46246803679026227
Swordfish,Swordfish,1,47.08729590619354,-0.4819948994430934,2.6,-0.9588925654480387,0.33276034753791195,-0.08887342431579552
The Manchurian Candidate,"Manchurian-Candidate,-The",1,34.457202505219215,0.4958350490036645,4.4,0.3724404459887423,-0.32426005714621264,-0.47836567987428213
The Time Machine,"Time-Machine,-The",1,54.25909920291942,-1.3412507843738823,2.4,-1.6850742080499193,-0.7320658255708418,-1.0347831878149774
Mighty Joe Young,Mighty-Joe-Young,0,33.33978852782835,-0.6817840749563014,2.4,-0.5151148949691117,-0.6187864454528892,0.32446529586872086
Little Nicky,Little-Nicky,0,44.95109701295268,-0.8913190639091781,2.0,-0.7840710588957341,-0.5055070653349367,-0.2955427844080537
Surrogates,Surrogates,1,54.27654427438864,0.8742974709107983,3.4,0.3186492132034178,-0.5961305694292987,0.6106228713810784
Thirteen Days,Thirteen-Days,0,36.323223930203575,0.721613060355989,4.6,0.6145009935227025,-0.1883248010046696,-0.6611885753405106
Nine,Nine,0,53.18146784276784,-1.2194281163780238,2.0,-1.1606096883930055,-0.6414423214764797,-0.38297982137016295
The Postman,"Postman,-The",0,49.20503654697754,0.03128460837945723,1.6,0.34554482959608007,-0.43753943726416517,-0.6850350399665404
Despicable Me 2,Despicable-Me-2,1,52.57431601948379,-1.144710213340564,2.0,-1.5102527014976146,-0.7320658255708418,-0.16836163973589482
Wanted,Wanted,1,44.587858137934504,1.5873661542465571,3.8,1.0851742803942916,0.038233959231235425,0.5708787636710287
The Rock,"Rock,-The",1,31.27885751100613,-0.17012886937369556,2.8,-0.1385762654718403,0.514007355726636,-0.5181097875843318
