,Processed Title,Success,FK_read_level_char_1,FK_read_level_char_2,FK_read_level_char_3,FK_read_level_char_4,FK_read_level_char_5,n_stop_words_char_1,n_stop_words_char_2,n_stop_words_char_3,n_stop_words_char_4,n_stop_words_char_5,n_curse_words_char_1,n_curse_words_char_2,n_curse_words_char_3,n_curse_words_char_4,n_curse_words_char_5,n_mentions_others_char_1,n_mentions_others_char_2,n_mentions_others_char_3,n_mentions_others_char_4,n_mentions_others_char_5,main_char_rel_diag_length,stdvs_unique_words_above_mean
The Rock,"Rock,-The",1,2,2,4,2,4,131,121,124,59,92,21,14,5,6,9,23,24,8,13,9,31.27885751100613,-0.17012886937369556
Constantine,Constantine,1,2,2,4,4,2,149,110,78,69,56,21,0,0,1,1,51,13,3,3,8,59.668215999697686,-0.8718274370298408
Life,Life,0,2,1,3,3,2,151,153,85,71,64,21,23,3,1,0,69,55,7,12,11,44.140211079557496,0.35452075412846856
Spanglish,Spanglish,0,2,3,1,3,8,130,142,121,99,110,4,3,0,0,0,25,44,17,13,1,33.837803320561946,0.8564301462714058
Hostage,Hostage,1,1,1,1,1,0,136,115,67,64,72,11,60,6,1,4,54,39,21,5,5,50.59909570459683,-1.2681571835763672
Soldier,Soldier,0,2,3,3,1,5,109,104,74,85,86,0,7,3,1,1,17,11,5,5,2,27.44159544159544,-1.3201348552546002
Monkeybone,Monkeybone,0,1,1,2,2,3,121,103,104,95,71,5,1,3,2,0,39,33,29,20,4,33.71896413633532,-0.9140592952684051
Unbreakable,Unbreakable,1,2,4,2,0,4,138,133,101,65,44,1,0,0,0,0,30,10,16,0,2,33.170470517368315,-0.5502155935207742
Sphere,Sphere,0,2,2,2,2,2,160,141,136,136,105,11,11,11,1,8,144,221,91,72,29,31.1117578579744,0.9457667694683687
Funny People,Funny-People,0,2,2,2,2,2,167,161,142,119,92,47,51,12,25,19,84,72,53,29,6,40.6121349036157,1.9642042739137462
The Kingdom,"Kingdom,-The",1,3,2,3,3,4,147,91,88,90,84,2,0,0,1,3,6,1,4,4,3,51.60342163771338,-0.4218957165651366
Braveheart,Braveheart,1,2,2,1,2,2,130,105,86,86,95,2,0,0,0,1,27,9,11,20,3,38.95492818226845,-1.1317157954210058
