,Processed Title,Success,FK_read_level_char_1,FK_read_level_char_2,FK_read_level_char_3,FK_read_level_char_4,FK_read_level_char_5,n_stop_words_char_1,n_stop_words_char_2,n_stop_words_char_3,n_stop_words_char_4,n_stop_words_char_5,n_curse_words_char_1,n_curse_words_char_2,n_curse_words_char_3,n_curse_words_char_4,n_curse_words_char_5,n_mentions_others_char_1,n_mentions_others_char_2,n_mentions_others_char_3,n_mentions_others_char_4,n_mentions_others_char_5,main_char_rel_diag_length,stdvs_unique_words_above_mean
Birthday Girl,Birthday-Girl,0,1,0,2,0,7,129,111,104,56,41,10,3,2,2,0,7,8,14,1,11,41.748318056621656,-1.3103890418149315
Machete,Machete,1,2,0,2,3,3,101,66,107,82,61,15,1,13,10,3,3,9,11,2,1,32.173523003972825,-1.4646977546096858
Jaws,Jaws,1,2,2,3,5,1,124,136,127,92,72,2,9,3,0,0,9,3,5,3,1,24.18767767475225,0.56568004532129
The Fault in Our Stars,"Fault-in-Our-Stars,-The",1,2,2,1,3,4,159,154,81,93,91,19,1,0,5,0,35,39,11,11,11,46.31341945919951,0.5234481870827258
American Pie,American-Pie,1,1,1,2,1,2,122,99,100,77,68,15,14,13,2,20,42,24,16,2,7,33.573185506075845,-0.7597505824736509
Star Trek II: The Wrath of Khan,Star-Trek-II-The-Wrath-of-Khan,1,3,5,3,4,4,156,105,104,119,99,0,0,0,0,0,80,8,3,17,10,42.40773609156007,0.013417283740064642
Witness,Witness,1,2,1,2,1,6,138,130,93,88,55,2,0,2,0,2,25,29,13,16,39,37.420949334884064,-0.6590438435970746
Chronicle,Chronicle,1,2,2,2,1,2,119,131,108,53,24,14,23,29,1,0,12,29,20,17,4,29.61455944366353,-0.974158478146362
Jackie Brown,Jackie-Brown,1,2,3,2,1,3,153,158,143,100,109,37,154,3,11,5,53,74,39,9,27,29.568256415026642,1.514272553449042
Crank,Crank,1,1,0,2,3,3,120,78,52,68,67,36,0,14,8,7,82,21,16,31,24,54.157837614347,-1.6027634450049921
Stir of Echoes,Stir-of-Echoes,1,2,2,3,2,3,158,146,115,104,104,20,4,3,5,1,113,77,38,46,9,42.52228128372168,0.8239441014725102
Rachel Getting Married,Rachel-Getting-Married,1,3,3,2,2,3,149,143,108,94,92,9,6,4,0,1,29,23,33,9,3,43.07901689216237,0.14336146293564708
Arbitrage,Arbitrage,1,2,1,2,2,2,159,96,101,109,83,18,31,18,3,1,57,10,12,7,2,51.318920814649665,-0.17012886937369556
Gremlins,Gremlins,1,2,2,2,2,3,148,76,76,77,74,6,0,0,1,0,112,24,37,21,19,63.39893635039464,-0.3747909516067379
The Fighter,"Fighter,-The",1,3,4,3,2,3,137,165,117,118,74,7,29,7,20,8,80,183,91,41,31,23.939539092021928,1.4590462772909194
Major League,Major-League,1,2,3,2,4,3,138,128,94,97,109,12,8,2,1,3,39,20,7,33,5,37.382451231833365,0.40812272804664634
Phone Booth,Phone-Booth,1,2,3,2,3,1,162,159,101,77,54,42,9,6,5,8,19,56,1,2,1,43.3340091792159,0.6225306237193574
Cruel Intentions,Cruel-Intentions,1,2,2,1,0,1,155,143,113,72,66,46,21,4,2,5,42,41,6,7,5,45.71328015016425,0.06864355989818718
Barry Lyndon,Barry-Lyndon,1,8,5,5,5,5,185,112,107,108,96,2,0,0,0,0,86,3,7,19,9,77.72448955835448,2.2728216995032544
Army of Darkness,Army-of-Darkness,1,2,1,4,2,3,126,70,62,52,31,3,0,0,0,1,8,5,2,6,0,63.403748884260644,-1.810674131717924
Alien,Alien,1,2,2,2,4,3,142,132,105,106,84,3,5,2,0,0,15,12,5,1,2,38.937425612195796,0.27980285109100866
2001: A Space Odyssey,2001-A-Space-Odyssey,1,4,5,4,4,9,88,119,93,88,99,0,0,0,0,0,22,9,21,1,7,16.547982366904034,-0.4283929255249157
Good Will Hunting,Good-Will-Hunting,1,2,2,3,3,2,153,141,145,132,115,50,9,0,55,5,76,56,75,45,34,32.69378470991374,1.7270561468818082
The Grudge,"Grudge,-The",1,2,1,1,3,3,107,65,61,74,75,1,0,0,0,0,22,5,5,8,2,38.513402400920896,-1.9682314489925676
The Best Exotic Marigold Hotel,"Best-Exotic-Marigold-Hotel,-The",1,3,4,3,2,2,154,140,141,125,122,0,1,0,1,0,53,45,24,22,33,28.99719792816507,0.9912472321868225
St. Elmo's Fire,St.-Elmo's-Fire,1,4,3,4,3,3,131,132,129,119,127,1,8,1,6,5,83,93,51,64,59,20.786316165500427,1.3680853518540117
Commando,Commando,1,3,3,3,3,3,122,104,53,52,55,6,2,0,0,0,84,34,13,10,6,53.385389910613384,-1.3250077619744347
Snatch,Snatch,1,1,2,1,2,2,106,106,95,99,110,25,24,22,22,19,21,37,25,13,20,21.084383352424585,-0.7110215152753075
Mud,Mud,1,1,2,1,2,2,145,143,129,95,91,4,2,25,0,0,97,106,109,30,25,30.49784049908466,1.2267710569788157
My Week with Marilyn,My-Week-with-Marilyn,1,3,2,4,3,4,144,148,140,96,97,2,1,5,4,1,77,87,87,57,41,28.18857702726068,1.2186495457790918
Big Eyes,Big-Eyes,1,2,2,0,4,5,167,145,69,69,38,10,0,0,0,0,22,43,1,0,16,56.22538267411967,0.43086295940587327
Drop Dead Gorgeous,Drop-Dead-Gorgeous,1,2,3,1,3,2,113,110,84,78,69,4,6,6,5,5,17,19,13,11,13,32.699714250217426,-0.603817567438952
Very Bad Things,Very-Bad-Things,1,1,2,1,2,2,131,145,113,111,114,9,25,7,25,19,37,64,7,8,11,25.671841840723786,0.5315696982824497
Cedar Rapids,Cedar-Rapids,0,2,2,2,2,4,154,124,114,111,115,7,61,9,1,0,50,35,17,35,17,43.68244642789893,1.506151042249318
Crash,Crash,0,2,3,5,4,3,113,89,93,80,48,0,7,1,1,0,9,11,12,4,1,27.20253164556962,-1.4435818254904036
The Limey,"Limey,-The",0,2,3,2,2,2,170,133,116,118,91,12,2,3,7,15,113,54,33,17,17,45.54598046040472,0.6566409707581978
Bamboozled,Bamboozled,0,3,2,3,3,2,157,112,118,114,85,11,10,2,9,5,53,16,8,26,5,42.387744785599686,0.9750042097873748
Cecil B. Demented,Cecil-B.-Demented,0,6,5,4,4,8,119,121,76,66,51,2,16,8,0,1,134,74,17,25,11,44.81953951462353,0.17909611221443228
Coriolanus,Coriolanus,0,4,4,4,5,4,153,142,145,118,103,0,0,0,0,0,46,46,27,34,11,31.248478948649307,1.0302304859454974
Amour,Amour,1,2,1,2,3,2,144,115,101,66,51,3,0,0,0,1,29,8,6,0,0,58.834931646602726,-0.7418832578342583
Next Friday,Next-Friday,1,1,0,1,1,1,100,88,89,59,55,4,12,19,13,1,9,9,17,1,0,38.61748633879781,-1.4208415941311767
Election,Election,1,3,4,3,3,3,160,153,121,97,71,5,3,3,5,1,99,15,29,21,12,40.97104605210098,0.5461884184419527
Pulp Fiction,Pulp-Fiction,1,2,3,2,3,3,137,133,113,106,103,49,115,13,3,8,32,46,12,12,25,27.62213236507675,0.7784636387540563
Easy A,Easy-A,1,3,2,2,3,2,172,103,86,81,77,37,23,2,1,0,35,6,4,7,4,72.00149925037479,0.33990203396896557
The Good Girl,"Good-Girl,-The",1,2,1,1,3,1,141,100,96,80,74,5,4,2,1,0,74,15,9,6,18,47.854964418841064,-0.5355968733612713
An Education,An-Education,1,1,2,2,2,4,157,142,129,87,89,3,0,0,1,0,31,46,31,12,0,37.99642964783345,0.04590332853896025
Extract,Extract,1,2,1,2,2,3,157,113,103,96,106,27,6,5,7,2,127,39,40,15,32,54.96028995266482,0.24081959733233393
Juno,Juno,1,3,2,2,1,2,163,112,97,86,92,15,5,1,0,6,61,12,18,4,7,58.64988167557149,0.417868541486315
The Piano,"Piano,-The",1,1,1,2,2,2,116,91,92,87,59,1,0,0,0,0,8,3,1,6,1,35.758096875895674,-1.4143443851713975
Capote,Capote,1,3,2,1,2,2,163,126,103,72,71,4,8,1,1,0,47,11,24,7,3,58.1257865316515,-0.34068060456789756
Logan's Run,Logan's-Run,1,1,1,2,3,1,143,119,93,82,59,1,0,0,1,0,48,34,5,14,2,47.644211375554654,-1.3103890418149315
Fargo,Fargo,1,2,2,2,2,2,115,99,102,79,72,0,0,38,0,1,35,51,38,14,19,31.423922990882282,-0.8539601123904482
Silver Bullet,Silver-Bullet,1,1,3,3,3,2,103,117,118,82,75,2,8,1,4,0,38,47,42,15,3,21.096278317152105,-0.714270119755197
A Serious Man,A-Serious-Man,1,3,3,3,4,4,172,81,94,66,69,5,12,0,2,0,315,20,35,21,26,70.37336386699894,0.3187861048496834
Get Low,Get-Low,1,2,2,2,2,2,145,130,111,117,106,1,10,1,1,1,116,80,50,27,34,35.696007696007705,1.002617347866436
Hesher,Hesher,0,0,2,0,1,2,105,120,90,94,96,42,75,2,13,0,17,14,9,3,12,25.57345847143373,-0.7532533735138718
The Boondock Saints,"Boondock-Saints,-The",0,3,1,1,1,2,147,123,112,110,63,43,25,93,32,11,16,14,7,5,4,41.09664153529815,0.07189216437807674
Shame,Shame,1,0,1,0,1,2,116,109,94,70,29,29,10,27,0,0,9,7,7,4,0,31.5954166858405,-1.2145552096581895
The Damned United,"Damned-United,-The",0,3,1,4,2,5,178,115,100,85,77,47,6,0,1,0,40,11,5,0,10,70.23169557970843,-0.08241654841667742
Ordinary People,Ordinary-People,1,0,1,1,1,1,129,140,128,115,115,17,2,0,5,5,39,31,32,6,6,32.07125673043877,0.21483076149321745
The Wrestler,"Wrestler,-The",1,1,1,1,1,4,144,100,73,35,30,32,20,18,1,1,16,14,0,0,1,58.774557307726184,-1.1788205603794044
The Wild Bunch,"Wild-Bunch,-The",0,4,3,2,3,3,166,120,71,108,122,3,1,0,2,0,86,41,209,16,32,44.694974469228704,0.6939999222769277
The Sting,"Sting,-The",1,2,2,1,2,5,125,114,100,81,29,7,5,1,1,0,23,15,5,9,2,33.77939691242245,-0.6850326794361911
Ghost World,Ghost-World,1,2,2,3,6,2,149,121,132,97,73,57,11,5,0,1,210,77,110,45,18,47.35534774985389,0.49096214228383017
Get Out,Get-Out,1,0,1,2,2,4,120,108,94,106,95,28,11,27,1,3,20,14,15,25,5,34.825922454788426,-0.352050720247511
The Big Sick,"Big-Sick,-The",1,2,2,2,2,3,159,134,120,106,79,25,20,11,9,9,50,10,18,20,7,51.07368660882114,0.5461884184419527
Dallas Buyers Club,Dallas-Buyers-Club,1,2,3,1,5,9,152,107,86,53,51,95,2,5,1,0,29,10,2,2,6,65.7563988868842,-0.3959068807260201
The Elephant Man,"Elephant-Man,-The",1,3,2,4,2,4,157,111,115,95,56,6,0,1,0,0,54,17,44,5,34,50.101120654785966,-0.13926712681474473
Memento,Memento,1,2,2,2,1,1,149,133,114,58,35,24,13,26,3,1,31,22,26,8,0,55.018990775908854,-0.6947784928758597
Friday the 13th Part VIII: Jason Takes Manhattan,Friday-the-13th-Part-VIII-Jason-Takes-Manhattan,1,4,3,3,3,3,105,109,93,102,72,0,0,1,0,2,14,21,14,21,5,25.353530511480752,-0.8637059258301168
Lone Star,Lone-Star,1,3,4,4,5,4,123,130,110,106,111,1,1,0,0,0,57,19,5,29,11,35.05829350704697,0.015041585980009422
April Fool's Day,April-Fool's-Day,1,2,2,2,3,2,127,122,133,124,121,6,3,5,3,9,75,76,80,50,41,25.83875100839937,0.8109496835529519
Diner,Diner,1,1,2,2,2,1,126,124,116,81,77,9,9,0,0,1,60,44,28,18,21,29.584926844672122,0.2359466906124996
Sunshine Cleaning,Sunshine-Cleaning,1,2,1,2,1,1,126,133,110,68,80,15,17,9,4,4,25,12,11,0,0,37.340340606705695,-0.4608789703238113
Moon,Moon,1,1,2,4,3,4,121,134,107,119,45,7,15,0,7,0,37,37,57,32,7,22.753886533414093,-0.5810773360797251
The Sweet Hereafter,"Sweet-Hereafter,-The",1,3,3,3,2,1,152,140,117,97,98,0,1,0,3,0,38,16,22,25,11,40.2808889783796,0.15473157861526055
Light Sleeper,Light-Sleeper,0,1,2,2,1,2,137,116,88,77,64,7,14,6,0,0,53,7,14,1,0,47.66795036371416,-0.6850326794361911
Sling Blade,Sling-Blade,1,2,1,2,1,2,126,126,133,105,117,1,5,54,6,0,58,67,76,64,51,33.306530723831266,0.7930823589135594
Only God Forgives,Only-God-Forgives,0,0,2,2,1,3,123,114,105,77,50,6,14,0,4,2,3,12,0,6,1,31.426023282012768,-1.46957066132952
Take Shelter,Take-Shelter,1,1,1,0,0,2,121,97,56,42,59,5,2,7,3,0,19,9,7,1,8,51.98826118855466,-1.4013499672518392
Fast Times at Ridgemont High,Fast-Times-at-Ridgemont-High,1,1,1,1,2,2,121,107,98,105,103,5,4,9,2,4,27,3,19,22,28,29.02250826725456,-0.6460494256775163
Bound,Bound,1,1,1,1,2,1,135,120,132,75,57,15,85,17,9,9,95,79,37,20,11,34.357368393809196,-0.7191430264750315
After.Life,After.Life,0,2,0,0,1,3,140,110,98,69,44,3,4,14,2,0,20,27,58,3,16,43.694969163337355,-1.2535384634168643
One Flew Over the Cuckoo's Nest,One-Flew-Over-the-Cuckoo's-Nest,1,2,4,4,3,3,141,127,95,39,64,19,0,0,4,0,79,66,8,10,0,54.500321543408354,-0.24971967913098983
Lost in Translation,Lost-in-Translation,1,1,1,2,1,3,102,102,60,41,64,2,1,1,0,0,9,13,2,2,2,34.87703822507351,-1.8382872697969852
Annie Hall,Annie-Hall,1,3,1,2,3,4,162,137,84,55,65,6,4,1,0,1,26,56,5,0,3,60.799415507321385,1.0675894374642272
Boyhood,Boyhood,1,1,1,2,1,1,147,146,140,114,103,16,16,9,2,5,49,48,63,44,26,23.59147633999012,1.2657543107374905
The Kids Are All Right,"Kids-Are-All-Right,-The",1,2,1,2,1,0,128,119,132,95,88,10,9,21,3,2,32,29,34,14,8,27.867802650629248,-0.27895711944999585
The Visitor,"Visitor,-The",1,1,0,1,1,1,123,121,106,97,58,0,3,0,1,0,40,30,37,27,2,35.58665090001314,-0.9839042915860307
The Cooler,"Cooler,-The",1,2,2,1,2,4,125,125,121,68,81,5,55,11,7,1,54,25,33,12,6,29.64947811185543,-0.3780395560866275
Four Rooms,Four-Rooms,1,2,3,4,2,3,137,108,116,97,87,31,17,17,5,5,31,30,84,17,10,41.4428548635856,-0.16200735817397166
Midnight Cowboy,Midnight-Cowboy,1,2,2,2,2,2,129,129,65,74,54,12,14,0,0,0,12,9,8,3,2,45.6322223460781,-0.8019824407122152
Gods and Monsters,Gods-and-Monsters,1,2,1,1,2,2,170,142,101,78,81,4,23,0,0,0,58,33,4,10,0,56.70949902407287,0.39837691460697766
Margin Call,Margin-Call,1,2,3,3,3,2,133,112,131,109,102,27,9,11,2,7,29,15,17,9,20,25.173106991288808,-0.1928691007329225
Beginners,Beginners,1,1,1,1,0,2,141,107,100,47,44,2,1,0,0,0,18,11,4,4,3,53.700099304865944,-1.018014638624871
Feast,Feast,0,1,1,1,2,5,126,93,75,77,34,8,22,7,0,0,3,3,0,0,39,37.0058044025846,-1.159328933500067
It's a Wonderful Life,It's-a-Wonderful-Life,1,1,1,5,3,5,165,104,107,117,78,3,0,0,1,0,326,57,174,54,69,55.08817885535013,1.0091145568262152
Trainspotting,Trainspotting,1,4,3,2,2,2,153,117,95,87,84,42,15,2,48,12,44,15,9,2,6,56.86083772030214,0.03128460837945723
Basquiat,Basquiat,0,1,1,3,1,3,131,75,112,69,74,18,3,12,5,1,13,7,3,2,4,47.37980369322907,-0.8637059258301168
The Wizard of Oz,"Wizard-of-Oz,-The",1,1,1,1,1,5,137,118,107,96,95,0,0,0,0,0,129,38,24,33,22,41.052602829518754,-0.4105256008855231
Garden State,Garden-State,1,2,2,2,2,3,163,145,128,109,82,27,13,36,1,3,79,30,32,13,16,50.019324916258704,1.2998646577763309
The French Connection,"French-Connection,-The",1,1,2,3,2,6,109,102,77,63,58,13,6,3,2,0,10,11,7,4,6,38.312857445456466,-0.9822799893460858
Mad Max 2: The Road Warrior,Mad-Max-2-The-Road-Warrior,1,2,3,2,4,3,99,99,86,42,48,0,1,0,0,2,10,41,20,12,7,25.46274692798258,-0.9303023176678529
American Splendor,American-Splendor,1,2,4,5,3,4,144,113,119,77,66,26,1,3,0,0,31,30,24,16,10,47.54294846184578,-0.045057596897947465
Buried,Buried,1,1,1,1,6,3,140,117,46,82,59,21,0,0,0,0,19,24,0,8,2,62.81875,-1.0797381237427728
Beasts of the Southern Wild,Beasts-of-the-Southern-Wild,1,2,4,4,4,4,119,134,79,56,52,5,2,4,3,0,75,32,18,17,5,39.09436084938827,0.015041585980009422
I Spit on Your Grave,I-Spit-on-Your-Grave,0,3,3,3,3,2,147,141,149,113,97,10,37,15,23,14,96,106,88,47,43,29.006871912065268,1.8521274193575563
In the Bedroom,In-the-Bedroom,1,2,1,2,2,2,150,147,118,110,95,3,1,4,0,4,188,123,87,42,67,39.519113624347746,0.8791703776306328
From Here to Eternity,From-Here-to-Eternity,1,2,2,2,2,4,138,147,127,115,78,0,0,0,0,1,26,26,3,18,78,24.383089970031254,0.8710488664309088
Insidious,Insidious,1,1,1,3,3,4,136,130,122,90,69,6,1,0,0,0,35,48,12,14,2,31.92865477579597,-0.5729558248800012
Repo Man,Repo-Man,1,0,2,1,1,3,109,121,68,73,64,18,31,0,7,1,42,16,10,4,0,35.511544683562924,-1.2113066051783
Blood Simple,Blood-Simple,1,0,2,2,2,3,89,93,95,93,51,0,0,6,10,0,16,40,11,27,12,18.355756506396123,-1.4874379859689126
Killing Zoe,Killing-Zoe,0,1,1,1,1,3,147,102,92,72,67,85,5,6,19,9,29,15,4,9,0,51.72046234302654,-1.0456277767039324
The Believer,"Believer,-The",1,3,2,2,5,3,164,107,76,84,65,26,6,1,0,3,39,10,7,5,12,66.37630662020906,-0.2984487463293332
The Hebrew Hammer,"Hebrew-Hammer,-The",0,3,3,2,4,2,143,103,92,80,68,3,4,3,0,2,33,11,5,18,8,52.386400200207355,-0.4267686232849709
Dear White People,Dear-White-People,1,3,2,2,3,3,141,108,105,105,104,9,9,2,15,4,13,11,11,10,19,36.10182322881837,0.0670192576582424
Saw,Saw,1,3,3,2,3,4,136,127,85,98,100,20,14,5,7,0,86,72,19,30,33,38.686751641560456,0.6793812021174247
Strangers on a Train,Strangers-on-a-Train,1,2,2,3,3,3,143,144,104,86,76,0,0,0,0,0,64,49,38,19,10,35.64406996042385,-0.5827016383196698
Reservoir Dogs,Reservoir-Dogs,1,3,2,3,4,4,118,118,115,92,69,53,29,31,8,0,5,15,6,9,4,30.883479303340106,-0.40402839192574397
The Rocky Horror Picture Show,"Rocky-Horror-Picture-Show,-The",1,3,2,2,4,5,131,112,100,67,91,2,0,0,0,0,48,35,36,9,16,37.46437552388935,-0.6882812839160806
Rocky,Rocky,1,2,2,1,2,4,129,104,78,82,85,2,1,0,4,0,36,10,16,7,1,45.110346804241885,-0.16363166041391644
Taxi Driver,Taxi-Driver,1,1,2,1,1,3,140,106,81,80,69,16,2,0,4,3,37,21,9,6,4,52.223783536485726,-0.5940717539992834
Hellraiser,Hellraiser,1,0,0,-1,1,6,101,86,94,98,53,8,0,9,2,0,18,13,13,10,16,27.58578431372549,-1.6953486726818445
Blue Valentine,Blue-Valentine,1,1,2,2,3,1,158,143,90,74,66,18,10,7,1,7,117,140,14,19,18,45.88188167267534,1.0091145568262152
The Sessions,"Sessions,-The",1,3,3,3,2,4,165,140,98,70,60,13,9,0,2,0,13,26,7,2,2,48.60206817311375,-0.1912447984929777
Martha Marcy May Marlene,Martha-Marcy-May-Marlene,1,0,1,1,2,2,114,123,95,91,67,5,9,1,0,3,25,30,11,7,6,30.347163420829805,-1.1706990491796805
Frozen River,Frozen-River,1,1,1,1,3,3,139,116,66,56,45,18,0,0,0,0,11,9,7,1,8,55.83204400893931,-1.3558695045333855
The Battle of Shaker Heights,"Battle-of-Shaker-Heights,-The",0,2,2,1,1,1,152,133,84,89,55,14,12,1,0,4,56,30,14,10,8,52.28563179674718,-0.3358076978480632
Fruitvale Station,Fruitvale-Station,1,0,1,1,1,1,125,97,104,47,53,46,18,0,12,4,7,4,15,0,0,49.133231842066486,-1.43221170981079
American Graffiti,American-Graffiti,1,1,2,2,1,1,112,118,116,98,90,1,2,14,1,0,40,45,27,20,6,20.960392569225377,-0.40727699640563353
Brick,Brick,1,1,1,1,1,1,149,116,101,95,79,0,0,1,1,0,117,33,11,18,7,56.82901283058393,-0.12302410441529693
It Happened One Night,It-Happened-One-Night,1,3,3,3,3,2,181,168,156,104,104,12,4,1,0,0,278,192,81,45,36,49.372275856450365,4.368171589032022
Chasing Amy,Chasing-Amy,1,2,3,3,4,2,159,163,139,118,92,55,40,96,20,30,35,17,13,16,3,31.85608031157291,2.198103796465795
Pi,Pi,1,2,2,3,3,3,129,103,97,95,72,7,0,0,2,0,25,12,14,12,5,46.904573454007355,-0.6460494256775163
Clerks,Clerks,1,2,3,2,2,1,163,164,120,112,102,50,61,15,5,35,45,47,9,15,14,39.74008207934337,1.372958258573846
