,Processed Title,Release Date,Year,imdb_id,has_synopsis,has_plot,new_title
Sanctum,Sanctum,"Feb 4, 2011",2011,9383552,NO,YES,Sanctum
My Super Ex-Girlfriend,My-Super-Ex-Girlfriend,"Jul 21, 2006",2006,0953883,NO,YES,My-Super-Ex-Girlfriend
Ballerina,Ballerina,"Aug 25, 2017",2017,3517984,NO,YES,Ballerina
Mr. 3000,Mr.-3000,"Sep 17, 2004",2004,0339412,NO,YES,Mr.-3000
The Next Three Days,"Next-Three-Days,-The","Nov 19, 2010",2010,2135140,NO,NO,"Next-Three-Days,-The"
Proud Mary,Proud-Mary,"Jan 12, 2018",2018,7730022,NO,YES,Proud-Mary
Little Black Book,Little-Black-Book,"Aug 6, 2004",2004,0378259,NO,YES,Little-Black-Book
Assault On Precinct 13,Assault-On-Precinct-13,"Jan 19, 2005",2005,5177604,NO,YES,Assault-On-Precinct-13
Runner Runner,Runner-Runner,"Oct 4, 2013",2013,3503530,NO,NO,Runner-Runner
The Replacement Killers,"Replacement-Killers,-The","Feb 6, 1998",1998,0171734,NO,NO,"Replacement-Killers,-The"
Baahubali 2: The Conclusion,Baahubali-2-The-Conclusion,"Apr 28, 2017",2017,4849438,YES,YES,Baahubali-2-The-Conclusion
Ultraviolet,Ultraviolet,"Mar 3, 2006",2006,1764723,NO,NO,Ultraviolet
North Country,North-Country,"Oct 21, 2005",2005,7353698,NO,NO,North-Country
Fright Night,Fright-Night,"Aug 19, 2011",2011,6445760,NO,NO,Fright-Night
mother!,mother!,"Sep 15, 2017",2017,9776296,NO,NO,mother!
Steve Jobs,Steve-Jobs,"Oct 9, 2015",2015,4425064,NO,YES,Steve-Jobs
Eight Legged Freaks,Eight-Legged-Freaks,"Jul 17, 2002",2002,7322024,NO,NO,Eight-Legged-Freaks
Fled,Fled,"Jul 19, 1996",1996,3028530,NO,NO,Fled
