Processed Title,Release Date,Production Budget ($),Domestic Gross ($),Worldwide Gross ($),Domestic ROI (%),Worldwide ROI (%),Success
Interstellar,"Nov 5, 2014",165000000,188017894.0,666379375.0,13.950238787878787,303.8662878787879,1
Beauty-and-the-Beast,"Mar 17, 2017",160000000,504014165.0,1259199706.0,215.008853125,686.99981625,1
Shrek-the-Third,"May 17, 2007",160000000,322719944.0,807330936.0,101.699965,404.581835,1
Inception,"Jul 16, 2010",160000000,292576195.0,832402082.0,82.860121875,420.25130125,1
Godzilla,"May 16, 2014",160000000,200676069.0,529076069.0,25.422543125,230.672543125,1
"Curious-Case-of-Benjamin-Button,-The","Dec 25, 2008",160000000,127509326.0,329631958.0,-20.30667125,106.01997375,1
War-for-the-Planet-of-the-Apes,"Jul 14, 2017",152000000,146880162.0,489592267.0,-3.3683144736842103,222.10017565789474,1
Frozen,"Nov 22, 2013",150000000,400738009.0,1272469910.0,167.15867266666666,748.3132733333333,1
Zootopia,"Mar 4, 2016",150000000,341268248.0,1019704348.0,127.51216533333331,579.8028986666667,1
"Matrix-Reloaded,-The","May 15, 2003",150000000,281553689.0,738576929.0,87.70245933333334,392.38461933333326,1
Hancock,"Jul 1, 2008",150000000,227946274.0,624234272.0,51.96418266666666,316.15618133333334,1
Thor,"May 6, 2011",150000000,181030624.0,449326618.0,20.687082666666665,199.55107866666665,1
X-Men-Origins-Wolverine,"May 1, 2009",150000000,179883157.0,374825760.0,19.922104666666666,149.88384,1
Angels-&-Demons,"May 15, 2009",150000000,133375846.0,490875846.0,-11.082769333333333,227.25056400000003,1
How-to-Train-Your-Dragon-2,"Jun 13, 2014",145000000,177002924.0,614586270.0,22.07098206896552,323.8526,1
Rise-of-the-Guardians,"Nov 21, 2012",145000000,103412758.0,306900902.0,-28.680856551724137,111.65579448275862,1
Star-Trek,"May 8, 2009",140000000,257730019.0,386839614.0,84.09287071428571,176.31401,1
"Last-Samurai,-The","Dec 5, 2003",140000000,111110575.0,456810575.0,-20.635303571428565,226.29326785714287,1
Spider-Man,"May 3, 2002",139000000,403706375.0,821706375.0,190.43624100719424,491.1556654676259,1
Watchmen,"Mar 6, 2009",138000000,107509799.0,186976250.0,-22.09434855072464,35.49003623188405,0
"Croods,-The","Mar 22, 2013",135000000,187168425.0,573068425.0,38.64327777777777,324.4951296296296,1
"Revenant,-The","Dec 25, 2015",135000000,183637894.0,532938302.0,36.028069629629634,294.76911259259265,1
Miami-Vice,"Jul 28, 2006",135000000,63478838.0,163818556.0,-52.97863851851852,21.34707851851852,0
War-of-the-Worlds,"Jun 29, 2005",132000000,234280354.0,606836535.0,77.48511666666667,359.7246477272727,1
"Bourne-Ultimatum,-The","Aug 3, 2007",130000000,227471070.0,444043396.0,74.97774615384616,241.5718430769231,1
Kung-Fu-Panda,"Jun 6, 2008",130000000,215434591.0,631910531.0,65.71891615384615,386.0850238461537,1
Megamind,"Nov 5, 2010",130000000,148415853.0,321887208.0,14.166040769230769,147.60554461538462,1
Logan,"Mar 3, 2017",127000000,226277068.0,615461394.0,78.17091968503938,384.61527086614166,1
Clash-of-the-Titans,"Apr 1, 2010",125000000,163214888.0,493214888.0,30.5719104,294.5719104,1
Prometheus,"Jun 8, 2012",125000000,126477084.0,402448265.0,1.1816672,221.95861200000002,1
Total-Recall,"Aug 3, 2012",125000000,58877969.0,211856088.0,-52.8976248,69.4848704,0
Life-of-Pi,"Nov 21, 2012",120000000,124987022.0,607258634.0,4.155851666666667,406.04886166666665,1
Ghost-Rider,"Feb 16, 2007",120000000,115802596.0,229545589.0,-3.4978366666666667,91.28799083333334,0
Oblivion,"Apr 19, 2013",120000000,89107235.0,287916633.0,-25.74397083333333,139.93052749999998,1
Fantastic-Four,"Aug 7, 2015",120000000,56117548.0,167849187.0,-53.23537666666667,39.8743225,0
